1;2;2.800494371513196E-6;63009
1;1;1.7471973023930332E-7;60557
2;2;5.770544930783217E-6;60086
2;1;2.0724598925880855E-7;60343
3;1;1.1067447758250637E-7;60470
3;2;1.1555051173672837E-5;60054
4;1;2.3095515189197613E-7;59983
4;2;5.7349550388607895E-6;60114
5;2;8.971817578640184E-6;60257
5;1;3.619497874751687E-7;60437
6;1;4.501084731600713E-7;60215
6;2;8.421594316132541E-6;60153
7;2;1.818711893974978E-6;60153
7;1;8.387621619476704E-8;60257
8;1;1.439607331121806E-7;60440
8;2;4.2785799223565846E-6;60296
9;2;7.460903248102113E-6;60065
9;1;9.993379990191897E-8;60218
10;2;4.691610229201615E-6;60192
10;1;2.2353447093337309E-7;60429
11;1;1.4718648344569374E-7;60283
11;2;7.622215889568906E-6;60330
12;2;3.5705169239008683E-6;60251
12;1;1.4325314623420127E-7;60308
13;2;1.217861802160769E-5;60147
13;1;3.265183750045253E-7;60439
14;2;1.291578735163057E-5;60022
14;1;3.361104745636112E-7;60142
15;2;4.767051564158464E-6;60061
15;1;3.286457967988099E-7;60202
16;1;3.898718432537862E-7;60181
16;2;4.532916136668064E-6;60038
17;2;5.023284188609978E-6;60249
17;1;9.385598787048366E-8;60309
18;2;4.025278258268372E-6;60062
18;1;2.3279596916836454E-7;60301
19;1;2.734175268415129E-7;60301
19;2;5.6613491778989555E-6;60070
20;2;1.5552166132692946E-6;59955
20;1;1.760223540259176E-7;60058
21;1;1.3590090475190664E-7;60148
21;2;1.2878114148406894E-5;60135
22;2;4.977902790415101E-6;60080
22;1;1.45207764035149E-7;60364
23;1;1.118827412938117E-7;60270
23;2;3.5842224406223977E-6;60201
24;1;2.527118567741127E-7;60337
24;2;5.79976506287494E-6;59837
25;1;2.341931804039632E-7;60306
25;2;4.812292672795593E-6;60138
26;2;1.0955735547213408E-5;60069
26;1;1.8391381217952585E-7;60298
27;2;1.0124282539436535E-5;60340
27;1;3.401854655749048E-7;60357
28;1;2.552638989072875E-7;60236
28;2;1.9563286969059845E-5;60355
29;2;1.4726843232892861E-5;60118
29;1;2.2225776774575934E-7;60461
30;2;3.7681844560211175E-6;64323
30;1;1.0297185326635372E-7;62767
